2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 市值1((规划金额 - 基金市值) x 加仓比例):{15108.49} ((规划金额{47482.72}  - 基金市值{32221.62}) x 加仓比例{0.99}) 
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 市值2(现金总市值 + 负债上限)：{436036.39} 现金总市值{236036.39} + 负债上限{200000.00}
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 加仓金额为市值1: 15108.49
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 买入UPRO:170
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - *************结束仓位调整*************
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - connected
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - Received account list
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - -1 2104 Market data farm connection is OK:usfarm
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:euhmds
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:fundfarm
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:ushmds
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - -1 2158 Sec-def data farm connection is OK:secdefil
2024-10-14 09:32:08 INFO  DashBoardFrame:139 - Server date/time is 20241014-09:32:07
2024-10-14 09:32:10 INFO  DashBoardFrame:139 - Delayed market data type is enabled, Delayed-Frozen market data type is disabled
2024-10-14 09:32:10 INFO  DashBoardFrame:139 - 价格触发调仓
2024-10-14 09:32:10 INFO  DashBoardFrame:139 - 账户:DU6083323, 账户净值:316464.27, 账户总现金:220922.41
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 手工触发调仓
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 账户:DU6083323, 账户净值:316464.27, 账户总现金:220922.41
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - *************开始仓位调整*************
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - UPRO规划市值(净资产总市值 x 基金占比)47469.64 = 净资产总市值316464.27 * 基金占比 0.15 
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 当前{UPRO}市场金额: {47353.32}. 当前持仓： {532.00} 当前市场价格： {89.01}
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 执行加仓:当前{UPRO}市场价格 {47353.32} 小于 {47482.72}(规划金额)
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 市值1((规划金额 - 基金市值) x 加仓比例):{128.11} ((规划金额{47482.72}  - 基金市值{47353.32}) x 加仓比例{0.99}) 
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 市值2(现金总市值 + 负债上限)：{420922.41} 现金总市值{220922.41} + 负债上限{200000.00}
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 加仓金额为市值1: 128.11
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - 买入UPRO:1
2024-10-14 09:32:39 INFO  DashBoardFrame:139 - *************结束仓位调整*************
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 手工触发调仓
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 账户:DU6083323, 账户净值:316593.88, 账户总现金:220832.57
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - *************开始仓位调整*************
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - UPRO规划市值(净资产总市值 x 基金占比)47489.08 = 净资产总市值316593.88 * 基金占比 0.15 
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 重置最新规划金额为 {47489.08} : 原有规划金额 {47482.72}
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 当前{UPRO}市场金额: {47437.00}. 当前持仓： {533.00} 当前市场价格： {89.00}
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 执行加仓:当前{UPRO}市场价格 {47437.00} 小于 {47489.08}(规划金额)
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 市值1((规划金额 - 基金市值) x 加仓比例):{51.56} ((规划金额{47489.08}  - 基金市值{47437.00}) x 加仓比例{0.99}) 
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 市值2(现金总市值 + 负债上限)：{420832.57} 现金总市值{220832.57} + 负债上限{200000.00}
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 加仓金额为市值1: 51.56
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - 金额差异小于100，不执行任何操作
2024-10-14 09:35:06 INFO  DashBoardFrame:139 - *************结束仓位调整*************
